;#;N;PLAYER;A;BORN;BIRTHPLACE;HT;WT;S;Saison;Poste
107;;;Yannick Goicoechea (F);59;1965;;180;78;-0;1998-1999;FORWARDS
108;;;Benjamin Puig (F);45;1978;Annecy, FRA;172;73;R;1998-1999;FORWARDS
109;;;Andrzej Swistak (F);61;1963;Nowy Targ, POL;173;75;-0;1998-1999;FORWARDS
113;;;Christophe Leveque (G);51;1973;Megève, FRA;175;80;-0;1999-2000;FORWARDS
114;;;Rodolphe Voyneau (G);51;1972;;176;75;-0;1999-2000;FORWARDS
116;;;Antoine Barthe (D);43;1981;;187;82;-0;1999-2000;DEFENSEMEN
117;;;Tony Delage (D);46;1978;Saint-Pierre-et-Miquelon, FRA;175;75;L;1999-2000;DEFENSEMEN
118;;;François Goudet (D);47;1976;;175;77;-0;1999-2000;DEFENSEMEN
119;;;Stéphane Labrucherie (D);55;1969;Bayonne, FRA;180;81;-0;1999-2000;DEFENSEMEN
120;;;Samuel Lesecq (D);48;1976;;175;70;-0;1999-2000;DEFENSEMEN
122;;;Dominique Blondin (F);57;1967;;173;75;-0;1999-2000;FORWARDS
123;;;Baptiste Bobillier (F);49;1975;Pontoise, FRA;174;75;-0;1999-2000;FORWARDS
124;;;Jérôme Bonello (F);47;1976;;185;80;-0;1999-2000;FORWARDS
125;;;Martin Bovo (F);45;1978;;188;88;-0;1999-2000;FORWARDS
126;;;Eric Daramy (F);51;1973;Bayonne, FRA;175;75;-0;1999-2000;FORWARDS
127;;;Olivier Escuder (F);46;1977;;185;80;-0;1999-2000;FORWARDS
128;;;Frédéric Leveque (F);46;1978;Saint-Pierre-et-Miquelon, FRA;182;78;-0;1999-2000;FORWARDS
129;;;Julien Mauget (F);43;1981;;179;66;-0;1999-2000;FORWARDS
130;;;Benjamin Puig (F);45;1978;Annecy, FRA;172;73;R;1999-2000;FORWARDS
131;;;Andrzej Swistak (F);61;1963;Nowy Targ, POL;173;75;-0;1999-2000;FORWARDS
135;;;Petri Ylönen (G);61;1962;Helsinki, FIN;190;91;L;2000-2001;FORWARDS
137;;;Antoine Barthe (D);43;1981;;187;82;-0;2000-2001;DEFENSEMEN
138;;;François Goudet (D);47;1976;;175;77;-0;2000-2001;DEFENSEMEN
139;;;Samuel Lesecq (D);48;1976;;175;70;-0;2000-2001;DEFENSEMEN
140;;;Delphin Mutte (D);49;1974;Croix, FRA;179;78;-0;2000-2001;DEFENSEMEN
142;;;Dominique Blondin (F);57;1967;;173;75;-0;2000-2001;FORWARDS
143;;;Jérôme Bonello (F);47;1976;;185;80;-0;2000-2001;FORWARDS
144;;;Martin Bovo (F);45;1978;;188;88;-0;2000-2001;FORWARDS
145;;;Eric Daramy (F);51;1973;Bayonne, FRA;175;75;-0;2000-2001;FORWARDS
146;;;Olivier Escuder (F);46;1977;;185;80;-0;2000-2001;FORWARDS
147;;;Benoit Gaulier (F);47;1977;;180;75;-0;2000-2001;FORWARDS
148;;;Grégory Gibeaux (F);49;1974;;172;75;-0;2000-2001;FORWARDS
149;;;Frédéric Leveque (F);46;1978;Saint-Pierre-et-Miquelon, FRA;182;78;-0;2000-2001;FORWARDS
150;;;Julien Mauget (F);43;1981;;179;66;-0;2000-2001;FORWARDS
151;;;Benjamin Puig (F);45;1978;Annecy, FRA;172;73;R;2000-2001;FORWARDS
152;;;Guillaume Solves (F);45;1979;;180;67;-0;2000-2001;FORWARDS
156;;;Raphaël Alonso (G);42;1981;;176;60;-0;2001-2002;FORWARDS
157;;;Sébastien Picat (G);48;1976;;178;62;-0;2001-2002;FORWARDS
158;;;Petri Ylönen (G);61;1962;Helsinki, FIN;190;91;L;2001-2002;FORWARDS
160;;;Brice Bombal (D);47;1977;Bordeaux, FRA;171;77;-0;2001-2002;DEFENSEMEN
161;;;François Goudet (D);47;1976;;175;77;-0;2001-2002;DEFENSEMEN
162;;;Samuel Lesecq (D);48;1976;;175;70;-0;2001-2002;DEFENSEMEN
163;;;Delphin Mutte (D);49;1974;Croix, FRA;179;78;-0;2001-2002;DEFENSEMEN
165;;;Dominique Blondin (F);57;1967;;173;75;-0;2001-2002;FORWARDS
166;;;Jérôme Bonello (F);47;1976;;185;80;-0;2001-2002;FORWARDS
