;#;N;PLAYER;A;BORN;BIRTHPLACE;HT;WT;S;Saison;Poste
391;#16;;Taneli Ahlfors (D);35;1988;Noormarkku, FIN;189;92;L;2011-2012;DEFENSEMEN
392;;;Antoine Barthe (D);43;1981;;187;82;-0;2011-2012;DEFENSEMEN
393;#26;;Karl Dewolf (D);52;1972;Lille, FRA;180;77;L;2011-2012;DEFENSEMEN
394;#81;;Robin Drogue (D);33;1991;Saint-Martin-d'Hères, FRA;193;100;L;2011-2012;DEFENSEMEN
395;#4;;"Damien Gadiot (D)""A""";38;1985;Toulouse, FRA;180;78;L;2011-2012;DEFENSEMEN
396;#32;;David Gaydon (D);36;1987;Sallanches, FRA;175;74;L;2011-2012;DEFENSEMEN
397;#21;;Kirk Golden (D/F);39;1984;Vail, CO, USA;178;79;L;2011-2012;DEFENSEMEN
398;#74;;Maxime Michaud (D);36;1987;Thonon-les-Bains, FRA;187;88;L;2011-2012;DEFENSEMEN
399;#18;;"Rémi Peronnard (C/D)""A""";38;1985;Grenoble, FRA;190;92;L;2011-2012;DEFENSEMEN
400;#12;;Benoît Pourtanel (D);50;1974;Ris-Orangis, FRA;180;86;L;2011-2012;DEFENSEMEN
401;#44;;Terry Prunier (D);40;1984;Rouen, FRA;186;88;L;2011-2012;DEFENSEMEN
402;#77;;Harold Ten Braak (D);39;1984;Dammarie-les-Lys, FRA;187;80;L;2011-2012;DEFENSEMEN
404;#17;;Alexis Codevelle (F);37;1986;Lyon, FRA;180;65;L;2011-2012;FORWARDS
405;#22;;Rémi Doroginsky (LW);32;1991;;180;73;R;2011-2012;FORWARDS
406;#92;;Maxime Faup (C);32;1992;Toulouse, FRA;178;72;L;2011-2012;FORWARDS
407;#13;;Augustin Gillardin (F);38;1985;Bastia, FRA;188;88;L;2011-2012;FORWARDS
408;#71;;Jimi Palanto (C/LW);34;1990;Tampere, FIN;178;70;L;2011-2012;FORWARDS
409;#76;;"Antoine Pelisse (F)""C""";40;1983;Valence, FRA;186;77;R;2011-2012;FORWARDS
410;#3;;Jeremy Pradel (F);34;1990;Toulouse, FRA;177;80;R;2011-2012;FORWARDS
411;#19;;Christophe Ribanelli (C);46;1977;Le Plessis-Bouchard, FRA;172;68;L;2011-2012;FORWARDS
412;#14;;Sébastien Savajol (F);42;1982;Toulon, FRA;172;70;L;2011-2012;FORWARDS
413;#10;;Anthony Wagret (F);38;1985;Valenciennes, FRA;185;90;L;2011-2012;FORWARDS
417;#1;;Sami Koskela (G);34;1989;Pirkkala, FIN;185;78;L;2012-2013;FORWARDS
418;#30;;Thomas Labonne (G);34;1990;;-0;-0;L;2012-2013;FORWARDS
419;#31;;Pierre Mauffrey (G);35;1988;Belfort, FRA;182;81;R;2012-2013;FORWARDS
421;#10;;Valtteri Autio (D);32;1992;Vaasa, FIN;172;78;L;2012-2013;DEFENSEMEN
422;#6;;Kévin Codevelle (D);35;1989;;-0;-0;R;2012-2013;DEFENSEMEN
423;#26;;Irwin Curtet (D);32;1991;Grenoble, FRA;177;77;L;2012-2013;DEFENSEMEN
424;#4;;Damien Gadiot (D);38;1985;Toulouse, FRA;180;78;L;2012-2013;DEFENSEMEN
425;#32;;David Gaydon (D);36;1987;Sallanches, FRA;175;74;L;2012-2013;DEFENSEMEN
426;#20;;Akseli Mattila (D);35;1988;Ylivieska, FIN;182;91;L;2012-2013;DEFENSEMEN
427;#74;;"Maxime Michaud (D)""A""";36;1987;Thonon-les-Bains, FRA;187;88;L;2012-2013;DEFENSEMEN
428;#18;;"Rémi Peronnard (C/D)""A""";38;1985;Grenoble, FRA;190;92;L;2012-2013;DEFENSEMEN
429;#12;;Benoît Pourtanel (D);50;1974;Ris-Orangis, FRA;180;86;L;2012-2013;DEFENSEMEN
430;#44;;Terry Prunier (D);40;1984;Rouen, FRA;186;88;L;2012-2013;DEFENSEMEN
431;#77;;Harold Ten Braak (D);39;1984;Dammarie-les-Lys, FRA;187;80;L;2012-2013;DEFENSEMEN
433;#11;;Clément Blaser (F);31;1993;Perpignan, FRA;182;81;L;2012-2013;FORWARDS
434;#17;;Alexis Codevelle (F);37;1986;Lyon, FRA;180;65;L;2012-2013;FORWARDS
435;#8;;Rémi Doroginsky (LW);32;1991;;180;73;R;2012-2013;FORWARDS
436;#92;;Maxime Faup (C);32;1992;Toulouse, FRA;178;72;L;2012-2013;FORWARDS
437;#55;;Tommy Flinck (F);53;1971;Pori, FIN;192;95;L;2012-2013;FORWARDS
438;#79;;"Karl Fournier (C)""A""";41;1983;Pointe-Claire, QC, CAN;176;82;L;2012-2013;FORWARDS
439;#7;;Olivier Gamache (F);37;1987;Pierrefonds, QC, CAN;190;86;R;2012-2013;FORWARDS
440;#13;;Augustin Gillardin (F);38;1985;Bastia, FRA;188;88;L;2012-2013;FORWARDS
441;#71;;Jimi Palanto (C/LW);34;1990;Tampere, FIN;178;70;L;2012-2013;FORWARDS
442;#3;;Jeremy Pradel (F);34;1990;Toulouse, FRA;177;80;R;2012-2013;FORWARDS
443;#19;;Christophe Ribanelli (C);46;1977;Le Plessis-Bouchard, FRA;172;68;L;2012-2013;FORWARDS
444;#14;;"Sébastien Savajol (F)""C""";42;1982;Toulon, FRA;172;70;L;2012-2013;FORWARDS
445;#15;;Bryan Ten Braak (LW);34;1990;Dammarie-les-Lys, FRA;188;77;L;2012-2013;FORWARDS
449;#1;;Paul Gigomas (G);28;1995;;-0;-0;L;2013-2014;FORWARDS
450;;;Thomas Labonne (G);34;1990;;-0;-0;L;2013-2014;FORWARDS
451;#72;;Niklas Lehti (G);34;1990;Reading, GBR;186;87;L;2013-2014;FORWARDS
453;#6;;Kévin Codevelle (D);35;1989;;-0;-0;R;2013-2014;DEFENSEMEN
454;#18;;"Jussi Korvakangas (D)""A""";32;1991;Hämeenlinna, FIN;179;73;L;2013-2014;DEFENSEMEN
455;#10;;Aleksi Laine (D);32;1992;Helsinki, FIN;183;83;L;2013-2014;DEFENSEMEN
456;#5;;Jani Laine (D);34;1989;Toijala, FIN;180;86;L;2013-2014;DEFENSEMEN
457;#8;;Théo Michel (D);29;1994;;-0;-0;-0;2013-2014;DEFENSEMEN
458;#15;;Sébastien Pommier (D);31;1993;Dunkerque, FRA;188;85;L;2013-2014;DEFENSEMEN
459;#2;;"Veli-Matti Talonen (D)""A""";35;1989;Ikaalinen, FIN;180;80;L;2013-2014;DEFENSEMEN
460;#20;;Henri Tissari (D);33;1991;Kuopio, FIN;184;75;R;2013-2014;DEFENSEMEN
462;#11;;Clément Blaser (F);31;1993;Perpignan, FRA;182;81;L;2013-2014;FORWARDS
463;#17;;Alexis Codevelle (F);37;1986;Lyon, FRA;180;65;L;2013-2014;FORWARDS
464;#92;;"Maxime Faup (C)""A""";32;1992;Toulouse, FRA;178;72;L;2013-2014;FORWARDS
465;#9;;Fabrice Faure (RW);32;1992;Corbeil-Essonnes, FRA;172;78;R;2013-2014;FORWARDS
466;#16;;Santeri Halme (F);33;1991;Pori, FIN;172;78;L;2013-2014;FORWARDS
467;#51;;Jaakko Kerisalmi (C);35;1988;Nokia, FIN;195;98;L;2013-2014;FORWARDS
468;#13;;Marvin Krukoff (LW);31;1993;Toulouse, FRA;187;88;R;2013-2014;FORWARDS
469;#7;;Kévin Marias-Magill (F);35;1989;Evreux, FRA;175;77;L;2013-2014;FORWARDS
470;#19;;Manuel Plamondon-Ratté (F);-0;;;-0;-0;-0;2013-2014;FORWARDS
471;#4;;Thomas Ronne (F);34;1990;Paris, FRA;180;80;L;2013-2014;FORWARDS
472;#14;;"Sébastien Savajol (F)""C""";42;1982;Toulon, FRA;172;70;L;2013-2014;FORWARDS
473;#21;;Jussi Viitanen (LW);31;1992;Tikkakoski, FIN;188;94;R;2013-2014;FORWARDS
474;#3;;Matthieu Vrecourt (LW);31;1993;;178;77;-0;2013-2014;FORWARDS
478;#38;;Steven Catelin (G);32;1992;Saint-Martin-d'Hères, FRA;178;78;L;2014-2015;FORWARDS
479;#1;;Paul Gigomas (G);28;1995;;-0;-0;L;2014-2015;FORWARDS
480;#35;;Niklas Kekki (G);31;1993;Pori, FIN;179;78;L;2014-2015;FORWARDS
482;#24;;"Juho Autio (D)""A""";37;1986;Vaasa, FIN;179;85;L;2014-2015;DEFENSEMEN
483;;;Kévin Codevelle (D);35;1989;;-0;-0;R;2014-2015;DEFENSEMEN
484;#18;;Jussi Korvakangas (D);32;1991;Hämeenlinna, FIN;179;73;L;2014-2015;DEFENSEMEN
485;#10;;Aleksi Laine (D);32;1992;Helsinki, FIN;183;83;L;2014-2015;DEFENSEMEN
486;;;Jani Laine (D);34;1989;Toijala, FIN;180;86;L;2014-2015;DEFENSEMEN
487;#5;;Robin Leppänen (D);31;1992;Pori, FIN;183;88;L;2014-2015;DEFENSEMEN
488;#21;;Yann Pflieger (D);31;1992;Belfort, FRA;187;90;L;2014-2015;DEFENSEMEN
489;#15;;Sébastien Pommier (D);31;1993;Dunkerque, FRA;188;85;L;2014-2015;DEFENSEMEN
490;#18;;Andrejs Smirnovs (D);32;1992;Riga, LAT;180;80;R;2014-2015;DEFENSEMEN
492;#19;;Daniel Bell (F);35;1988;Victoria, BC, CAN;180;81;-0;2014-2015;FORWARDS
493;#11;;Clément Blaser (F);31;1993;Perpignan, FRA;182;81;L;2014-2015;FORWARDS
494;#17;;Alexis Codevelle (F);37;1986;Lyon, FRA;180;65;L;2014-2015;FORWARDS
495;#8;;Rémi Doroginsky (LW);32;1991;;180;73;R;2014-2015;FORWARDS
496;#92;;Maxime Faup (C);32;1992;Toulouse, FRA;178;72;L;2014-2015;FORWARDS
497;#9;;Fabrice Faure (RW);32;1992;Corbeil-Essonnes, FRA;172;78;R;2014-2015;FORWARDS
498;#16;;Santeri Halme (F);33;1991;Pori, FIN;172;78;L;2014-2015;FORWARDS
499;#13;;Marvin Krukoff (LW);31;1993;Toulouse, FRA;187;88;R;2014-2015;FORWARDS
500;#20;;Cyril Lambert (F);35;1989;Bruges, FRA;179;78;R;2014-2015;FORWARDS
501;#48;;Antoine Leblanc (LW);31;1992;Saint-Bruno, QC, CAN;175;70;R;2014-2015;FORWARDS
502;#7;;"Kévin Marias-Magill (F)""A""";35;1989;Evreux, FRA;175;77;L;2014-2015;FORWARDS
503;#26;;Thybaud Rouillard (LW);33;1991;Briançon, FRA;172;75;R;2014-2015;FORWARDS
504;#6;;Paulus Rundgren (F/D);32;1992;Kolari, FIN;183;83;L;2014-2015;FORWARDS
505;#14;;"Sébastien Savajol (F)""C""";42;1982;Toulon, FRA;172;70;L;2014-2015;FORWARDS
509;#72;;Vincent Combes (G);27;1997;;-0;-0;-0;2016-2017;FORWARDS
510;#1;;Paul Gigomas (G);28;1995;;-0;-0;L;2016-2017;FORWARDS
511;#33;;Filip Kubis (G);40;1983;Pisek, CZE;175;79;L;2016-2017;FORWARDS
513;#20;;Thibault Buils (D/C);30;1994;Bordeaux, FRA;183;73;L;2016-2017;DEFENSEMEN
514;#4;;Thomas Eischen (D/F);34;1989;Annecy, FRA;185;93;L;2016-2017;DEFENSEMEN
515;#21;;Léo Martin (D);27;1997;Cahors, FRA;193;81;R;2016-2017;DEFENSEMEN
516;#26;;Micke Niemelä (D);35;1989;Espoo, FIN;178;84;R;2016-2017;DEFENSEMEN
517;#5;;Sébastien Pommier (D);31;1993;Dunkerque, FRA;188;85;L;2016-2017;DEFENSEMEN
518;#2;;Damien Sanchez (D);29;1994;Anglet, FRA;176;90;L;2016-2017;DEFENSEMEN
519;#19;;Toomas Veijola (D);32;1992;Forssa, FIN;187;95;L;2016-2017;DEFENSEMEN
521;#6;;Flaury Bermond (F);29;1995;Gap, FRA;173;74;L;2016-2017;FORWARDS
522;#72;;Clément Blaser (F);31;1993;Perpignan, FRA;182;81;L;2016-2017;FORWARDS
523;#7;;Pierre-Luc Champagne (C);35;1988;Chateauguay, QC, CAN;179;93;R;2016-2017;FORWARDS
524;#17;;Alexis Codevelle (F);37;1986;Lyon, FRA;180;65;L;2016-2017;FORWARDS
525;#8;;Rémi Doroginsky (LW);32;1991;;180;73;R;2016-2017;FORWARDS
526;#92;;"Maxime Faup (C)""A""";32;1992;Toulouse, FRA;178;72;L;2016-2017;FORWARDS
527;#9;;Fabrice Faure (RW);32;1992;Corbeil-Essonnes, FRA;172;78;R;2016-2017;FORWARDS
528;#13;;Marvin Krukoff (LW);31;1993;Toulouse, FRA;187;88;R;2016-2017;FORWARDS
529;#96;;Celian Lebourdonnec (F);28;1996;;-0;-0;L;2016-2017;FORWARDS
530;#27;;"Eddy Martin-Whalen (RW)""C""";36;1988;LaSalle, QC, CAN;175;84;L;2016-2017;FORWARDS
531;#18;;"Rémi Repetto (F)""A""";31;1993;Annecy, FRA;173;71;R;2016-2017;FORWARDS
532;#22;;Johan Saint-André (LW);30;1994;Villiers-le-Bel, FRA;174;72;R;2016-2017;FORWARDS
533;#79;;Thomas Saint-André (RW);33;1991;Villiers-le-Bel, FRA;176;69;L;2016-2017;FORWARDS
534;#9;;Lucas Thibault (F);29;1994;Kongoussi, BFA;-0;-0;L;2016-2017;FORWARDS
538;#72;;Vincent Combes (G);27;1997;;-0;-0;-0;2017-2018;FORWARDS
539;#72;;Romain Frédric (G);27;1997;Saint-Leu, FRA;194;85;-0;2017-2018;FORWARDS
540;#33;;Filip Kubis (G);40;1983;Pisek, CZE;175;79;L;2017-2018;FORWARDS
542;#22;;Félix Boucher (D);28;1995;Mercier, QC, CAN;190;90;L;2017-2018;DEFENSEMEN
543;#10;;Thibault Buils (D/C);30;1994;Bordeaux, FRA;183;73;L;2017-2018;DEFENSEMEN
544;#2;;Eero Kotilainen (D);28;1996;Lahti, FIN;182;82;L;2017-2018;DEFENSEMEN
545;#3;;Radim Kuzel (D);28;1995;Cheb, CZE;187;88;L;2017-2018;DEFENSEMEN
546;#21;;Léo Martin (D);27;1997;Cahors, FRA;193;81;R;2017-2018;DEFENSEMEN
547;#5;;"Sébastien Pommier (D)""C""";31;1993;Dunkerque, FRA;188;85;L;2017-2018;DEFENSEMEN
548;#96;;Aki Vainio (D);27;1996;Kotka, FIN;175;85;R;2017-2018;DEFENSEMEN
549;;;Enzo Witwicki (D);29;1995;Saint-Cloud, FRA;182;82;L;2017-2018;DEFENSEMEN
551;#6;;Flaury Bermond (F);29;1995;Gap, FRA;173;74;L;2017-2018;FORWARDS
552;#11;;Clément Blaser (F);31;1993;Perpignan, FRA;182;81;L;2017-2018;FORWARDS
553;#7;;Pierre-Luc Champagne (C);35;1988;Chateauguay, QC, CAN;179;93;R;2017-2018;FORWARDS
554;#8;;Rémi Doroginsky (LW);32;1991;;180;73;R;2017-2018;FORWARDS
555;#92;;Maxime Faup (C);32;1992;Toulouse, FRA;178;72;L;2017-2018;FORWARDS
556;#9;;Fabrice Faure (RW);32;1992;Corbeil-Essonnes, FRA;172;78;R;2017-2018;FORWARDS
557;;;Alexandre Guitard (F);25;1998;;-0;-0;-0;2017-2018;FORWARDS
558;#13;;Marvin Krukoff (LW);31;1993;Toulouse, FRA;187;88;R;2017-2018;FORWARDS
559;#96;;Celian Lebourdonnec (F);28;1996;;-0;-0;L;2017-2018;FORWARDS
560;#27;;"Eddy Martin-Whalen (RW)""A""";36;1988;LaSalle, QC, CAN;175;84;L;2017-2018;FORWARDS
561;#18;;Rémi Repetto (F);31;1993;Annecy, FRA;173;71;R;2017-2018;FORWARDS
562;#79;;Tomas Rubes (LW);28;1996;Karlovy Vary, CZE;180;87;L;2017-2018;FORWARDS
563;#47;;Johan Saint-André (LW);30;1994;Villiers-le-Bel, FRA;174;72;R;2017-2018;FORWARDS
564;#19;;Baptiste Ylönen (F);30;1994;Rouen, FRA;187;81;L;2017-2018;FORWARDS
568;#72;;Romain Frédric (G);27;1997;Saint-Leu, FRA;194;85;-0;2018-2019;FORWARDS
569;#33;;Filip Kubis (G);40;1983;Pisek, CZE;175;79;L;2018-2019;FORWARDS
571;#20;;Thibault Buils (D/C);30;1994;Bordeaux, FRA;183;73;L;2018-2019;DEFENSEMEN
572;#9;;Kylian Codevelle (D);23;2001;Toulouse, FRA;186;100;L;2018-2019;DEFENSEMEN
573;#21;;Alexeï Courtheoux (D);23;2001;;-0;-0;-0;2018-2019;DEFENSEMEN
574;#22;;Dan Kelly (D);29;1995;Arlington, MA, USA;185;88;-0;2018-2019;DEFENSEMEN
575;#3;;Radim Kuzel (D);28;1995;Cheb, CZE;187;88;L;2018-2019;DEFENSEMEN
576;#5;;Sébastien Pommier (D);31;1993;Dunkerque, FRA;188;85;L;2018-2019;DEFENSEMEN
577;#32;;Michaël Prégent (D);36;1988;Salaberry-de-Valleyfield, QC, CAN;183;85;L;2018-2019;DEFENSEMEN
578;#7;;Hermanni Salomaa (D);29;1995;Tornio, FIN;187;87;L;2018-2019;DEFENSEMEN
579;;;Enzo Witwicki (D);29;1995;Saint-Cloud, FRA;182;82;L;2018-2019;DEFENSEMEN
581;#47;;Valentin Audisio (F);22;2001;Toulouse, FRA;170;71;R;2018-2019;FORWARDS
582;#6;;"Flaury Bermond (F)""C""";29;1995;Gap, FRA;173;74;L;2018-2019;FORWARDS
583;#11;;Clément Blaser (F);31;1993;Perpignan, FRA;182;81;L;2018-2019;FORWARDS
584;#21;;Romain Condomitti (F);35;1989;Cahors, Fra;-0;-0;-0;2018-2019;FORWARDS
585;#91;;Dany Coulombe (C);27;1997;Ste-Agathe-des-Monts, QC, CAN;179;75;L;2018-2019;FORWARDS
586;#18;;Quentin Coureaud (F);26;1997;Montpellier, FRA;-0;-0;L;2018-2019;FORWARDS
587;#8;;Rémi Doroginsky (LW);32;1991;;180;73;R;2018-2019;FORWARDS
588;#19;;Riho Embrich (F);31;1993;Tallinn, EST;184;85;L;2018-2019;FORWARDS
589;#92;;Maxime Faup (C);32;1992;Toulouse, FRA;178;72;L;2018-2019;FORWARDS
590;#9;;Fabrice Faure (RW);32;1992;Corbeil-Essonnes, FRA;172;78;R;2018-2019;FORWARDS
591;#96;;Alexandre Guitard (F);25;1998;;-0;-0;-0;2018-2019;FORWARDS
592;#79;;Miroslav Krivochtchekov (RW);28;1995;Moskva, RUS;176;80;L;2018-2019;FORWARDS
593;#13;;"Marvin Krukoff (LW)""A""";31;1993;Toulouse, FRA;187;88;R;2018-2019;FORWARDS
594;#76;;Tomas Marcinek (W/C);34;1989;Zvolen, SVK;186;88;L;2018-2019;FORWARDS
595;#27;;"Eddy Martin-Whalen (RW)""A""";36;1988;LaSalle, QC, CAN;175;84;L;2018-2019;FORWARDS
599;#72;;Romain Frédric (G);27;1997;Saint-Leu, FRA;194;85;-0;2019-2020;FORWARDS
600;#33;;Filip Kubis (G);40;1983;Pisek, CZE;175;79;L;2019-2020;FORWARDS
602;#53;;Beni Berisha (D/F);32;1992;Toronto, ON, CAN;178;81;R;2019-2020;DEFENSEMEN
603;#60;;Loïc Beyt (D);44;1980;;-0;-0;-0;2019-2020;DEFENSEMEN
604;#20;;Thibault Buils (D/C);30;1994;Bordeaux, FRA;183;73;L;2019-2020;DEFENSEMEN
605;;;William Croteau (D);24;2000;Chandler, QC, CAN;173;66;R;2019-2020;DEFENSEMEN
606;#3;;Radim Kuzel (D);28;1995;Cheb, CZE;187;88;L;2019-2020;DEFENSEMEN
607;#25;;Elmeri Laamanen (D);29;1994;Mikkeli, FIN;190;93;L;2019-2020;DEFENSEMEN
608;#7;;"Julien Lepage (D)""A""";30;1994;Baie-Comeau, QC, CAN;180;78;L;2019-2020;DEFENSEMEN
609;;;Loïc Mairal (D);21;2002;Toulouse, FRA;183;73;L;2019-2020;DEFENSEMEN
610;#53;;Marek Novák (D);30;1994;Praha, CZE;181;91;L;2019-2020;DEFENSEMEN
611;#5;;"Sébastien Pommier (D)""A""";31;1993;Dunkerque, FRA;188;85;L;2019-2020;DEFENSEMEN
612;#78;;Alexandre Raby (D/F);26;1998;Briançon, FRA;179;75;L;2019-2020;DEFENSEMEN
613;#70;;Enzo Witwicki (D);29;1995;Saint-Cloud, FRA;182;82;L;2019-2020;DEFENSEMEN
615;#6;;"Flaury Bermond (F)""C""";29;1995;Gap, FRA;173;74;L;2019-2020;FORWARDS
616;#11;;Clément Blaser (F);31;1993;Perpignan, FRA;182;81;L;2019-2020;FORWARDS
617;#4;;Jules Bouisse (F);21;2002;Toulouse, FRA;180;78;L;2019-2020;FORWARDS
618;#13;;Timothée Champin-Flachaire (F);23;2001;Toulouse, FRA;182;76;L;2019-2020;FORWARDS
619;#21;;Dany Coulombe (C);27;1997;Ste-Agathe-des-Monts, QC, CAN;179;75;L;2019-2020;FORWARDS
620;#89;;Vincent Domenech (F);24;2000;Toulouse, FRA;177;75;L;2019-2020;FORWARDS
621;#92;;Maxime Faup (C);32;1992;Toulouse, FRA;178;72;L;2019-2020;FORWARDS
622;#79;;Miroslav Krivochtchekov (RW);28;1995;Moskva, RUS;176;80;L;2019-2020;FORWARDS
623;#18;;Axel Laffin (F);26;1997;Annecy, FRA;183;87;L;2019-2020;FORWARDS
624;#21;;Jacob Lapierre (LW);25;1998;Chateauguay, QC, CAN;188;102;L;2019-2020;FORWARDS
625;#27;;Eddy Martin-Whalen (RW);36;1988;LaSalle, QC, CAN;175;84;L;2019-2020;FORWARDS
626;#24;;Julien Romand (RW);25;1999;Sallanches, FRA;190;83;L;2019-2020;FORWARDS
627;#2;;Pablo Sudor (F);23;2001;Toulouse, FRA;180;80;L;2019-2020;FORWARDS
631;;;Romain Dandel (G);23;2000;Décines-Charpieu, FRA;180;72;L;2020-2021;FORWARDS
632;;;Romain Frédric (G);27;1997;Saint-Leu, FRA;194;85;-0;2020-2021;FORWARDS
633;;;Filip Kubis (G);40;1983;Pisek, CZE;175;79;L;2020-2021;FORWARDS
635;;;Clément Bonnaudet (D);24;2000;Sallanches, FRA;174;75;L;2020-2021;DEFENSEMEN
636;;;Thibault Buils (D/C);30;1994;Bordeaux, FRA;183;73;L;2020-2021;DEFENSEMEN
637;;;Kylian Codevelle (D);23;2001;Toulouse, FRA;186;100;L;2020-2021;DEFENSEMEN
638;;;Martins Kevlis (D);24;2000;Dobele, LAT;190;87;R;2020-2021;DEFENSEMEN
639;;;Radim Kuzel (D);28;1995;Cheb, CZE;187;88;L;2020-2021;DEFENSEMEN
640;;;Julien Lepage (D);30;1994;Baie-Comeau, QC, CAN;180;78;L;2020-2021;DEFENSEMEN
641;;;Loïc Mairal (D);21;2002;Toulouse, FRA;183;73;L;2020-2021;DEFENSEMEN
642;;;"Sébastien Pommier (D)""A""";31;1993;Dunkerque, FRA;188;85;L;2020-2021;DEFENSEMEN
644;;;"Flaury Bermond (F)""C""";29;1995;Gap, FRA;173;74;L;2020-2021;FORWARDS
645;;;Clément Blaser (F);31;1993;Perpignan, FRA;182;81;L;2020-2021;FORWARDS
646;;;Ugo Boccassini (RW);24;2000;Marseille, FRA;168;73;R;2020-2021;FORWARDS
647;;;Jules Bouisse (F);21;2002;Toulouse, FRA;180;78;L;2020-2021;FORWARDS
648;;;Noah Camus (F);22;2002;Verviers, BEL;175;65;R;2020-2021;FORWARDS
649;;;Jaime Capillas (C);23;2001;Jaca, ESP;193;100;L;2020-2021;FORWARDS
650;;;Timothée Champin-Flachaire (F);23;2001;Toulouse, FRA;182;76;L;2020-2021;FORWARDS
651;;;Nicolas Chauveau (F);33;1991;Clichy, FRA;178;80;L;2020-2021;FORWARDS
652;;;Vincent Domenech (F);24;2000;Toulouse, FRA;177;75;L;2020-2021;FORWARDS
653;;;Axel Laffin (F);26;1997;Annecy, FRA;183;87;L;2020-2021;FORWARDS
654;;;Eddy Martin-Whalen (RW);36;1988;LaSalle, QC, CAN;175;84;L;2020-2021;FORWARDS
655;;;Pablo Sudor (F);23;2001;Toulouse, FRA;180;80;L;2020-2021;FORWARDS
659;;;Romain Dandel (G);23;2000;Décines-Charpieu, FRA;180;72;L;2021-2022;FORWARDS
660;#72;;Romain Frédric (G);27;1997;Saint-Leu, FRA;194;85;-0;2021-2022;FORWARDS
661;#39;;William Lavallière (G);25;1999;Montréal, QC, CAN;185;93;L;2021-2022;FORWARDS
663;#25;;Clément Bonnaudet (D);24;2000;Sallanches, FRA;174;75;L;2021-2022;DEFENSEMEN
664;#10;;Thibault Buils (D/C);30;1994;Bordeaux, FRA;183;73;L;2021-2022;DEFENSEMEN
665;#60;;Kylian Codevelle (D);23;2001;Toulouse, FRA;186;100;L;2021-2022;DEFENSEMEN
666;#8;;Martins Kevlis (D);24;2000;Dobele, LAT;190;87;R;2021-2022;DEFENSEMEN
667;#37;;Loïc Mairal (D);21;2002;Toulouse, FRA;183;73;L;2021-2022;DEFENSEMEN
668;#24;;Kevin Maso (D);29;1995;Sallanches, FRA;180;80;L;2021-2022;DEFENSEMEN
669;#81;;Pierre Pampanay (D/F);26;1998;Sallanches, FRA;174;77;L;2021-2022;DEFENSEMEN
670;#5;;"Sébastien Pommier (D)""A""";31;1993;Dunkerque, FRA;188;85;L;2021-2022;DEFENSEMEN
672;;;Valentin Audisio (F);22;2001;Toulouse, FRA;170;71;R;2021-2022;FORWARDS
673;#68;;"Flaury Bermond (F)""C""";29;1995;Gap, FRA;173;74;L;2021-2022;FORWARDS
674;#11;;Clément Blaser (F);31;1993;Perpignan, FRA;182;81;L;2021-2022;FORWARDS
675;#70;;Ugo Boccassini (RW);24;2000;Marseille, FRA;168;73;R;2021-2022;FORWARDS
676;#26;;Timothée Champin-Flachaire (F);23;2001;Toulouse, FRA;182;76;L;2021-2022;FORWARDS
677;#30;;"Nicolas Chauveau (F)""A""";33;1991;Clichy, FRA;178;80;L;2021-2022;FORWARDS
678;#92;;Dany Coulombe (C);27;1997;Ste-Agathe-des-Monts, QC, CAN;179;75;L;2021-2022;FORWARDS
679;#21;;Vincent Domenech (F);24;2000;Toulouse, FRA;177;75;L;2021-2022;FORWARDS
680;#15;;Sébastien Gauthier (C/RW);37;1986;Montréal, QC, CAN;182;90;R;2021-2022;FORWARDS
681;#61;;Miroslav Krivochtchekov (RW);28;1995;Moskva, RUS;176;80;L;2021-2022;FORWARDS
682;#27;;Eddy Martin-Whalen (RW);36;1988;LaSalle, QC, CAN;175;84;L;2021-2022;FORWARDS
683;;;Jonathan Martinez (F);19;2004;Toulouse, FRA;170;60;L;2021-2022;FORWARDS
684;#50;;Camille Mutte (F);20;2003;Toulouse, FRA;174;73;L;2021-2022;FORWARDS
685;#17;;Yanick Riendeau (RW/C);39;1984;Montréal, QC, CAN;176;80;R;2021-2022;FORWARDS
686;#3;;Pablo Sudor (F);23;2001;Toulouse, FRA;180;80;L;2021-2022;FORWARDS
690;#35;;Xavier Bolduc (G);24;2000;St-Éphrem, QC, CAN;183;86;L;2022-2023;FORWARDS
691;#87;;Julien Fortes-Da Cruz (G);37;1987;Toulouse, FRA;187;100;L;2022-2023;FORWARDS
693;#25;;Clément Bonnaudet (D);24;2000;Sallanches, FRA;174;75;L;2022-2023;DEFENSEMEN
694;#37;;Loïc Mairal (D);21;2002;Toulouse, FRA;183;73;L;2022-2023;DEFENSEMEN
695;#81;;Pierre Pampanay (D/F);26;1998;Sallanches, FRA;174;77;L;2022-2023;DEFENSEMEN
696;#5;;"Sébastien Pommier (D)""A""";31;1993;Dunkerque, FRA;188;85;L;2022-2023;DEFENSEMEN
697;#10;;Gaëtan Portier (D/F);34;1990;Eaubonne, FRA;187;87;R;2022-2023;DEFENSEMEN
698;#17;;Connor Vermeulen (D);28;1996;Saskatoon, SK, CAN;193;98;R;2022-2023;DEFENSEMEN
700;#71;;Valentin Audisio (F);22;2001;Toulouse, FRA;170;71;R;2022-2023;FORWARDS
701;#55;;Joakim Bergeron (LW);23;2001;Roxton Pond, QC, CAN;175;72;L;2022-2023;FORWARDS
702;#95;;"Flaury Bermond (F)""C""";29;1995;Gap, FRA;173;74;L;2022-2023;FORWARDS
