,,,,,,,,,,
1990-1991 TOULOUSE-BLAGNAC ROSTER,#,N,PLAYER,A,BORN,BIRTHPLACE,HT,WT,S,
,,,Grégory Gibeaux (F),49,1974,,172,75,-0,
,,,Yannick Goicoechea (F),59,1965,,180,78,-0,
,,,Benjamin Puig (F),45,1978,"Annecy, FRA",172,73,R,
,,,Andrzej Swistak (F),61,1963,"Nowy Targ, POL",173,75,-0,
1999-2000 TOULOUSE-BLAGNAC ROSTER,,,,,,,,,,
,#,N,PLAYER,A,BORN,BIRTHPLACE,HT,WT,S,
GOALTENDERS,,,,,,,,,,
,,,Christophe Leveque (G),51,1973,"Megève, FRA",175,80,-0,
,,,Rodolphe Voyneau (G),51,1972,,176,75,-0,
DEFENSEMEN,,,,,,,,,,
,,,Antoine Barthe (D),43,1981,,187,82,-0,
,,,Tony Delage (D),46,1978,"Saint-Pierre-et-Miquelon, FRA",175,75,L,
,,,François Goudet (D),47,1976,,175,77,-0,
,,,Stéphane Labrucherie (D),55,1969,"Bayonne, FRA",180,81,-0,
,,,Samuel Lesecq (D),48,1976,,175,70,-0,
FORWARDS,,,,,,,,,,
,,,Dominique Blondin (F),57,1967,,173,75,-0,
,,,Baptiste Bobillier (F),49,1975,"Pontoise, FRA",174,75,-0,
,,,Jérôme Bonello (F),47,1976,,185,80,-0,
,,,Martin Bovo (F),45,1978,,188,88,-0,
,,,Eric Daramy (F),51,1973,"Bayonne, FRA",175,75,-0,
,,,Olivier Escuder (F),46,1977,,185,80,-0,
,,,Frédéric Leveque (F),46,1978,"Saint-Pierre-et-Miquelon, FRA",182,78,-0,
,,,Julien Mauget (F),43,1981,,179,66,-0,
,,,Benjamin Puig (F),45,1978,"Annecy, FRA",172,73,R,
,,,Andrzej Swistak (F),61,1963,"Nowy Targ, POL",173,75,-0,
2000-2001 TOULOUSE-BLAGNAC ROSTER,,,,,,,,,,
,#,N,PLAYER,A,BORN,BIRTHPLACE,HT,WT,S,
GOALTENDERS,,,,,,,,,,
,,,Petri Ylönen (G),61,1962,"Helsinki, FIN",190,91,L,
DEFENSEMEN,,,,,,,,,,
,,,Antoine Barthe (D),43,1981,,187,82,-0,
,,,François Goudet (D),47,1976,,175,77,-0,
,,,Samuel Lesecq (D),48,1976,,175,70,-0,
,,,Delphin Mutte (D),49,1974,"Croix, FRA",179,78,-0,
FORWARDS,,,,,,,,,,
,,,Dominique Blondin (F),57,1967,,173,75,-0,
,,,Jérôme Bonello (F),47,1976,,185,80,-0,
,,,Martin Bovo (F),45,1978,,188,88,-0,
,,,Eric Daramy (F),51,1973,"Bayonne, FRA",175,75,-0,
,,,Olivier Escuder (F),46,1977,,185,80,-0,
,,,Benoit Gaulier (F),47,1977,,180,75,-0,
,,,Grégory Gibeaux (F),49,1974,,172,75,-0,
